Measure,Time,Time_type,Ethnicity,Ethnicity_type,Geography,Geography_type, Number of stop and searches , Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported) ,Population by ethnicity,"Rate per 1,000 population by ethnicity",Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported),Notes
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Lancashire,Police Force Area,19,"5,472","2,688",7.07,0%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Leicestershire,Police Force Area,69,"1,719","14,586",4.73,4%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Lincolnshire,Police Force Area,13,"3,812","1,540",8.44,0%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,"London, City of",Police Force Area,102,"1,322", N/A , N/A ,8%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Merseyside,Police Force Area,35,"6,450","9,792",3.57,1%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Metropolitan Police,Police Force Area,"15,924","140,198","573,833",27.75,11%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Norfolk,Police Force Area,72,"5,277","3,096",23.26,1%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,North Wales,Police Force Area, -   ,"1,521","1,077", -   ,0%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,North Yorkshire,Police Force Area,11,"4,214","2,331",4.72,0%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Northamptonshire,Police Force Area,76,"1,752","9,552",7.96,4%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Northumbria,Police Force Area,67,"7,055","7,714",8.69,1%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Nottinghamshire,Police Force Area,69,"2,417","11,631",5.93,3%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,South Wales,Police Force Area,67,"6,058","8,592",7.8,1%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,South Yorkshire,Police Force Area,76,"3,521","15,519",4.9,2%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Staffordshire,Police Force Area,24,"3,847","4,271",5.62,1%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Suffolk,Police Force Area,53,"2,530","2,624",20.2,2%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Surrey,Police Force Area,160,"5,738","7,828",20.44,3%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Sussex,Police Force Area,135,"7,660","9,262",14.58,2%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Thames Valley,Police Force Area,370,"10,464","42,293",8.75,4%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Warwickshire,Police Force Area,37,"3,235","2,173",17.03,1%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,West Mercia,Police Force Area,48,"8,357","2,252",21.31,1%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,West Midlands,Police Force Area,768,"17,442","55,557",13.82,4%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,West Yorkshire,Police Force Area,117,"13,184","24,685",4.74,1%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Wiltshire,Police Force Area,43,"2,405","3,136",13.71,2%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,All - excluding BTP,Police Force Area,"19,912","342,086","989,628",20.12,6%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,All - including BTP,Police Force Area,"20,068","345,087","989,628",20.28,6%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Avon & Somerset,Police Force Area,187,"4,723","14,561",12.84,4%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Bedfordshire,Police Force Area,36,"1,373","13,964",2.58,3%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,British Transport Police,Police Force Area,126,"2,139", N/A , N/A ,6%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Cambridgeshire,Police Force Area,32,"1,084","5,906",5.42,3%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Cheshire,Police Force Area,5,"2,004","1,734",2.88,0%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Cleveland,Police Force Area,6,943,"2,615",2.29,1%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Cumbria,Police Force Area,6,"1,755",373,16.09,0%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Derbyshire,Police Force Area,16,"1,724","4,459",3.59,1%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Devon & Cornwall,Police Force Area,36,"4,744","2,384",15.1,1%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Dorset,Police Force Area,70,"2,895","2,055",34.06,2%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Durham,Police Force Area,2,"1,705",653,3.06,0%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Dyfed-Powys,Police Force Area,3,"2,292",415,7.23,0%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Essex,Police Force Area,257,"3,148","24,613",10.44,8%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Gloucestershire,Police Force Area,29,"1,720","2,090",13.88,2%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Greater Manchester,Police Force Area,100,"2,502","44,691",2.24,4%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Gwent,Police Force Area,6,"1,310","1,803",3.33,0%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Hampshire,Police Force Area,261,"7,762","11,697",22.31,3%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Hertfordshire,Police Force Area,253,"6,420","19,722",12.83,4%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Humberside,Police Force Area,8,716,"3,498",2.29,1%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Kent,Police Force Area,276,"6,328","16,265",16.97,4%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Lancashire,Police Force Area,12,"3,074","2,688",4.46,0%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Leicestershire,Police Force Area,54,"1,342","14,586",3.7,4%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Lincolnshire,Police Force Area,12,"2,186","1,540",7.79,1%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,"London, City of",Police Force Area,83,"1,122", N/A , N/A ,7%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Merseyside,Police Force Area,52,"6,650","9,792",5.31,1%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Metropolitan Police,Police Force Area,"14,526","121,607","573,833",25.31,12%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Norfolk,Police Force Area,76,"3,682","3,096",24.55,2%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,North Wales,Police Force Area,3,"1,622","1,077",2.79,0%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,North Yorkshire,Police Force Area,12,"2,465","2,331",5.15,0%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Northamptonshire,Police Force Area,79,"1,136","9,552",8.27,7%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Northumbria,Police Force Area,36,"3,695","7,714",4.67,1%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Nottinghamshire,Police Force Area,35,"1,573","11,631",3.01,2%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,South Wales,Police Force Area,95,"4,851","8,592",11.06,2%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,South Yorkshire,Police Force Area,79,"2,025","15,519",5.09,4%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Staffordshire,Police Force Area,39,"3,563","4,271",9.13,1%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Suffolk,Police Force Area,78,"1,894","2,624",29.73,4%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Surrey,Police Force Area,108,"3,980","7,828",13.8,3%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Sussex,Police Force Area,102,"6,059","9,262",11.01,2%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Thames Valley,Police Force Area,358,"8,208","42,293",8.46,4%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Warwickshire,Police Force Area,22,"1,908","2,173",10.12,1%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,West Mercia,Police Force Area,53,"4,829","2,252",23.53,1%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,West Midlands,Police Force Area,701,"12,548","55,557",12.62,6%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,West Yorkshire,Police Force Area,89,"9,653","24,685",3.61,1%,
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,Wiltshire,Police Force Area,27,"1,488","3,136",8.61,2%,
